MonthDay;Hour of day;Consumption;Rate
11/25;0;0.3;Off-peak
11/25;1;0.39;Off-peak
11/25;2;0.33;Off-peak
11/25;3;0.27;Off-peak
11/25;4;0.29;Off-peak
11/25;5;0.29;Off-peak
11/25;6;0.29;Off-peak
11/25;7;0.28;Off-peak
11/25;8;0.31;On-peak
11/25;9;0.33;On-peak
11/25;10;0.48;On-peak
11/25;11;0.47;On-peak
11/25;12;0.47;Mid-peak
11/25;13;0.48;Mid-peak
11/25;14;0.42;Mid-peak
11/25;15;0.34;Mid-peak
11/25;16;0.36;Mid-peak
11/25;17;0.3;Mid-peak
11/25;18;0.32;On-peak
11/25;19;0.3;On-peak
11/25;20;0.39;Off-peak
11/25;21;0.36;Off-peak
11/25;22;0.39;Off-peak
11/25;23;0.37;Off-peak
11/26;0;0.3;Off-peak
11/26;1;0.3;Off-peak
11/26;2;0.26;Off-peak
11/26;3;0.27;Off-peak
11/26;4;0.27;Off-peak
11/26;5;0.29;Off-peak
11/26;6;0.28;Off-peak
11/26;7;0.26;Off-peak
11/26;8;0.27;Off-peak
11/26;9;0.29;Off-peak
11/26;10;0.29;Off-peak
11/26;11;0.3;Off-peak
11/26;12;0.26;Off-peak
11/26;13;2.35;Off-peak
11/26;14;0.65;Off-peak
11/26;15;0.32;Off-peak
11/26;16;0.35;Off-peak
11/26;17;0.42;Off-peak
11/26;18;0.35;Off-peak
11/26;19;0.33;Off-peak
11/26;20;0.33;Off-peak
11/26;21;0.32;Off-peak
11/26;22;0.31;Off-peak
11/26;23;0.31;Off-peak
11/27;0;0.37;Off-peak
11/27;1;0.32;Off-peak
11/27;2;0.31;Off-peak
11/27;3;0.26;Off-peak
11/27;4;0.29;Off-peak
11/27;5;0.28;Off-peak
11/27;6;0.27;Off-peak
11/27;7;0.27;Off-peak
11/27;8;0.26;Off-peak
11/27;9;0.28;Off-peak
11/27;10;1.57;Off-peak
11/27;11;4.19;Off-peak
11/27;12;0.41;Off-peak
11/27;13;0.38;Off-peak
11/27;14;0.29;Off-peak
11/27;15;0.34;Off-peak
11/27;16;0.3;Off-peak
11/27;17;0.27;Off-peak
11/27;18;0.26;Off-peak
11/27;19;0.47;Off-peak
11/27;20;0.3;Off-peak
11/27;21;0.3;Off-peak
11/27;22;0.69;Off-peak
11/27;23;0.73;Off-peak
11/28;0;0.41;Off-peak
11/28;1;0.31;Off-peak
11/28;2;0.31;Off-peak
11/28;3;0.29;Off-peak
11/28;4;0.29;Off-peak
11/28;5;0.32;Off-peak
11/28;6;0.29;Off-peak
11/28;7;0.32;Off-peak
11/28;8;0.36;On-peak
11/28;9;0.38;On-peak
11/28;10;2.54;On-peak
11/28;11;0.52;On-peak
11/28;12;0.37;Mid-peak
11/28;13;0.31;Mid-peak
11/28;14;0.26;Mid-peak
11/28;15;0.31;Mid-peak
11/28;16;0.36;Mid-peak
11/28;17;0.32;Mid-peak
11/28;18;0.3;On-peak
11/28;19;0.37;On-peak
11/28;20;0.56;Off-peak
11/28;21;0.45;Off-peak
11/28;22;0.42;Off-peak
11/28;23;0.52;Off-peak
11/29;0;0.44;Off-peak
11/29;1;0.3;Off-peak
11/29;2;0.3;Off-peak
11/29;3;0.3;Off-peak
11/29;4;0.29;Off-peak
11/29;5;0.3;Off-peak
11/29;6;0.27;Off-peak
11/29;7;0.4;Off-peak
11/29;8;0.31;On-peak
11/29;9;0.26;On-peak
11/29;10;0.28;On-peak
11/29;11;0.27;On-peak
11/29;12;0.39;Mid-peak
11/29;13;0.41;Mid-peak
11/29;14;0.39;Mid-peak
11/29;15;0.41;Mid-peak
11/29;16;0.38;Mid-peak
11/29;17;0.37;Mid-peak
11/29;18;0.48;On-peak
11/29;19;0.5;On-peak
11/29;20;0.41;Off-peak
11/29;21;0.5;Off-peak
11/29;22;0.47;Off-peak
11/29;23;0.43;Off-peak
11/30;0;0.41;Off-peak
11/30;1;0.35;Off-peak
